地区,年份,孤儿数
贵州,2009,3912.68
云南,2018,17881.12
云南,2017,16376.34
云南,2016,14788.42
云南,2015,13619.17
云南,2014,12814.59
云南,2013,11832.31
云南,2012,10309.47
云南,2011,8893.12
云南,2010,7224.18
云南,2009,6169.75
西藏,2018,1477.63
西藏,2017,1310.92
西藏,2016,1151.41
西藏,2015,1026.39
西藏,2014,920.83
西藏,2013,815.67
西藏,2012,701.03
西藏,2011,605.83
西藏,2010,507.46
西藏,2009,441.36
陕西,2018,24438.32
陕西,2017,21898.81
陕西,2016,19399.59
陕西,2015,18021.86
陕西,2014,17689.94
陕西,2013,16205.45
陕西,2012,14453.68
陕西,2011,12512.3
陕西,2010,10123.48
陕西,2009,8169.8
甘肃,2018,8246.07
甘肃,2017,7459.9
甘肃,2016,7200.37
甘肃,2015,6790.32
甘肃,2014,6836.82
甘肃,2013,6330.69
甘肃,2012,5650.2
甘肃,2011,5020.37
甘肃,2010,4120.75
甘肃,2009,3387.56
青海,2018,2865.23
青海,2017,2624.83
青海,2016,2572.49
青海,2015,2417.05
青海,2014,2303.32
青海,2013,2122.06
青海,2012,1893.54
青海,2011,1670.44
青海,2010,1350.43
青海,2009,1081.27
宁夏,2018,3705.18
宁夏,2017,3443.56
宁夏,2016,3168.59
宁夏,2015,2911.77
宁夏,2014,2752.1
宁夏,2013,2577.57
宁夏,2012,2341.29
宁夏,2011,2102.21
宁夏,2010,1689.65
宁夏,2009,1353.31
新疆,2018,12199.08
新疆,2017,10881.96
新疆,2016,9649.7
新疆,2015,9324.8
新疆,2014,9273.46
新疆,2013,8443.84
新疆,2012,7505.31
新疆,2011,6610.05
新疆,2010,5437.47
新疆,2009,4277.05
